Fiscal Year,Requirement Description,Office Symbol,N=New R= Recompete,NAICS Code,Extent of Competition,Estimated Value,Incumbent Contractor,Length of Performance,Target Award Fiscal Year Quarter,Place of Performance if Outside US,Point of Contact Name,Point of Contact Email Address,Item Type,Path
FY 15,PSC Contract for Corrections Advisor to Replace/Extend Bridges,INL/RM/GAPP,N,541330 - Engineering Services,Set Aside,>$150K and <$500K,N/A,Base Option Period (1yr),Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),Afghanistan,"Bertini, Joseph V",BertiniJV@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,"IT infrastructure, Hardware and Software",INL/RM/GAPP,N,541330 - Engineering Services,Set Aside,>$10M and <$20M,N/A,Less than 12 Months,Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),Mexico,"Noah, Ellery B",NoahEB@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,"Criminal Justice Program Support, UN-Seconded and Bilateral Police, Justice, and Specialist Advisors",INL/RM/GAPP,N,561210 - Facilities Support Services,Set Aside,>$5M and <$10M,N/A,Less than 12 Months,Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun),Liberia,"Parsons, Huber R",ParsonsH@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Recompression Chamber and Support Equipment for the Chamber,INL/RM/GAPP,N,336611 - Ship Building and Repairing,Set Aside,>$150K and <$500K,N/A,Less than 12 Months,Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun),Jamaica,"Rex, Gary L",RexGL@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,"Senior Police Advisor, Support for Law Enforcement Program",INL/RM/GAPP,N,561210 - Facilities Support Services,Set Aside,>$150K and <$500K,N/A,Base Option Period (1yr),Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun),Liberia,"Parsons, Huber R",ParsonsH@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,"Radio Communications Advisor, Technical Expertise in Radio Communications",INL/RM/GAPP,N,"541990 - All Other Professional, Scientific, and Technical Services",Set Aside,>$150K and <$500K,N/A,Less than 12 Months,Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun),Liberia,"Parsons, Huber R",ParsonsH@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Interdiction - CJPS Mentoring for the Vetted Units of the Counternarcotics Police of Afghanistan,INL/RM/GAPP,N,541690 - Other Scientific and Technical Consulting Services,Set Aside,>$5M and <$10M,N/A,Base Option Period (1yr),Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),Afghanistan,"O'Gara, James F",OgaraJF@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,"Interdiction - CJPS O & M Costs, Operations and Maintenance Support for National Interdiction Unit (NIU)/Special Investigative Unit SIU and Herat RLEC",INL/RM/GAPP,N,541690 - Other Scientific and Technical Consulting Services,Set Aside,>$20M and <$50M,N/A,Base Option Period (1yr),Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),Afghanistan,"O'Gara, James F",OgaraJF@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,"Justice Administration and Management Support, Performance Based Project to Improve Administrative and Management Capacity of the Liberia MOJ",INL/RM/GAPP,N,541690 - Other Scientific and Technical Consulting Services,Set Aside,>$1M and <$5M,N/A,Base Option Period (1yr),Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun),Liberia,"Parsons, Huber R",ParsonsH@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Two Justice/Police Advisors,INL/RM/GAPP,N,541690 - Other Scientific and Technical Consulting Services,Set Aside,>$500K and <$1M,N/A,Base Option Period (1yr),Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),Jerusalem,"Myers, Joanne M",MyersJM@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,"Supporting Decentralized Dispute Resolution at the County, District, and Community Level",INL/RM/GAPP,N,541690 - Other Scientific and Technical Consulting Services,Set Aside,>$1M and <$5M,N/A,Base Option Period (1yr),Quarter 4 (Jul-Sep),Liberia,"Parsons, Huber R",ParsonsH@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,SME Contract for Ministry of Interior Mentor,INL/RM/GAPP,N,541690 - Other Scientific and Technical Consulting Services,Set Aside,>$150K and <$500K,N/A,Base Option Period (1yr),Quarter 4 (Jul-Sep),Jerusalem,"Myers, Joanne M",MyersJM@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Parks Renovations and Improvements of Community Areas,INL/RM/GAPP,N,236220 - Commercial and Institutional Building Construction,Set Aside,>$150K and <$500K,N/A,Base Option Period (1yr),Quarter 4 (Jul-Sep),Costa Rica,"Calzada, Laura",CalzadaL@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Corrections Trainer Contract for CRCD Academy,INL/RM/GAPP,N,541690 - Other Scientific and Technical Consulting Services,Set Aside,>$150K and <$500K,N/A,Base Option Period (1yr),Quarter 4 (Jul-Sep),Jerusalem,"Myers, Joanne M",MyersJM@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,IDOX Solutions - On-site Administrators,CGFS/EX/ADO,R,561110 - Office Administrative Services,Set Aside,>$150K and <$500K,IDOX Solutions,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Janet Lucas,lucasjx@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Control M Software Support,CGFS/EX/ADO,R,561110 - Office Administrative Services,Veteran Owned Small Business Sole Source,>$150K and <$500K,Cetan Corp,Base + 2 Option Periods (3yrs),Quarter 2 (Jan-Mar),N/A,Janet Lucas,lucasjx@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,"Enterprise Content Management Tool, Enterprise Records Management",INL/RM/GAPP,N,541519 - Other Computer Related Services,Set Aside,>$1M and <$5M,N/A,Base Option Period (1yr),Quarter 4 (Jul-Sep),N/A,"Burris, Reggie B",BurrisRB@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Management Analyst II,OIG,R,561110 - Office Administrative Services,TBD,>$500K and <$1M,Miracle Systems,Base + 4 Option Periods (5yrs),Quarter 1 (Oct-Dec),N/A,Andrea Kennedy,KennedyAM2@state.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Administrative Assistant,OIG,R,561110 - Office Administrative Services,8(a) Sole Source,>$500K and <$1M,Miracle Systems,Base + 4 Option Periods (5yrs),Quarter 1 (Oct-Dec),N/A,Andrea Kennedy,KennedyAM2@state.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Management Analyst II,OIG,N,541611 - Administrative Management and General Management Consulting Services,8(a) Sole Source,>$1M and <$5M,N/A,Base + 4 Option Periods (5yrs),Quarter 1 (Oct-Dec),N/A,Andrea Kennedy,KennedyAM2@state.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,"Integrated Personnel Management System (IPMS) Support and Development, Systems Devlopment",HR/EX,R,541512 - Computer Systems Design Services,8(a) Competitive,>$10M and <$20M,eGlobalTechnologies,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,Mia Johnson,johnsonma1@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,"Integrated Personnel Management System (IPMS) Support and Development, Overseas Personnel System",HR/EX,R,541512 - Computer Systems Design Services,TBD,>$10M and <$20M,Geneva,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),N/A,Mia Johnson,johnsonma1@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,"Integrated Personnel Management System (IPMS) Support and Development, Peoplesoft Helpdesk",HR/EX,R,(Pick One),Competitive - Full and Open,>$10M and <$20M,N/A,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,Mia Johnson,Johnsonma1@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,FISMA Audit,OIG,N,541219 - Other Accounting Services,TBD,>$1M and <$5M,Williams Adley,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Andrea Kennedy,KennedyAM2@state.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Annual EMC Maintenance Renewal,HR/EX,R,541519 - Other Computer Related Services,Competitive - Full and Open,>$1M and <$5M,CDWG,Base Option Period (1yr),Quarter 4 (Jul-Sep),N/A,Mia Johnson,johnsonma1@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Annual Government Retirements Benefits (GRB) Maintenance Renewal,HR/EX,R,541519 - Other Computer Related Services,Competitive - Full and Open,>$150K and <$500K,GRB,Base Option Period (1yr),Quarter 4 (Jul-Sep),N/A,Mia Johnson,johnsonma1@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Annual QuickHire Maintenance Renewal,HR/EX,R,541519 - Other Computer Related Services,Sole Source,>$500K and <$1M,Monster Government Solutions,Base Option Period (1yr),Quarter 4 (Jul-Sep),N/A,Mia Johnson,johnsonma1@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Annual Oracle 11g / Oracle RAC Maintenance Renewal,HR/EX,R,541519 - Other Computer Related Services,(Pick One),>$150K and <$500K,Mythics,Base Option Period (1yr),Quarter 4 (Jul-Sep),N/A,Mia Johnson,johnsonma1@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Annual renewal for PeopleSoft Help Desk licenses,HR/EX,R,541519 - Other Computer Related Services,Competitive - Full and Open,>$500K and <$1M,DLT Solutions,Base Option Period (1yr),Quarter 4 (Jul-Sep),N/A,Mia Johnson,johnsonma1@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Annual renewal for PeopleSoft licenses,HR/EX,R,541519 - Other Computer Related Services,Competitive - Full and Open,>$500K and <$1M,DLT Solutions,Base Option Period (1yr),Quarter 4 (Jul-Sep),N/A,Mia Johnson,johnsonma1@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,"Integrated Personnel Management System (IPMS) Support and Development, PeopleSoft Developers",HR/EX,R,541519 - Other Computer Related Services,8(a) Sole Source,>$1M and <$5M,N/A,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,Mia Johnson,johnsonma1@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Management Analyst II,OIG,N,561110 - Office Administrative Services,TBD,>$500K and <$1M,Miracle Systems,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),N/A,Andrea Kennedy,KennedyAM2@state.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Human Resources Specialists (BEX),HR/REE,R,541612 - Human Resources Consulting Services,Set Aside,>$1M and <$5M,Miracle Systems,Base + 4 Option Periods (5yrs),Quarter 1 (Oct-Dec),N/A,Mia Johnson,johnsonma1@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Human Resources Specialists ,HR/REE,R,541612 - Human Resources Consulting Services,Set Aside,>$1M and <$5M,Miracle Systems,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Mia Johnson,johnsonma1@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Childcare Subsidies,HR/ER,R,(Pick One),Set Aside,>$1M and <$5M,N/A,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,Mia Johnson,johnsonma1@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Financial Statement Audit,OIG,N,541219 - Other Accounting Services,Not Competed – Other Than Small Business,>$500K and <$1M,N/A,Base Option Period (1yr),Quarter 3 (Apr-Jun),N/A,Andrea Kennedy,KennedyAM2@state.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Management Analyst II,OIG,N,541611 - Administrative Management and General Management Consulting Services,TBD,>$500K and <$1M,Miracle Systems,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,Andrea Kennedy,KennedyAM2@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Mastery of Diplomacy,FSI/SPAS,N,611430 - Professional and Management Development Training,TBD,>$500K and <$1M,N/A,Less than 12 Months,Quarter 2 (Jan-Mar),N/A,Mark Libby,LibbyMW@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Tomorrow Now,FSI/SPAS,N,611430 - Professional and Management Development Training,TBD,>$150K and <$500K,N/A,Less than 12 Months,Quarter 2 (Jan-Mar),N/A,Patti McNerney,McNerneyPX@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Psychology of Persuasion,FSI/SPAS,N,611430 - Professional and Management Development Training,TBD,>$150K and <$500K,N/A,Less than 12 Months,Quarter 2 (Jan-Mar),N/A,Amy Johnston,JohnstonAA@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Regional Course Chairs,FSI/SPAS/AS,N,611430 - Professional and Management Development Training,Competitive - Full and Open,>$500K and <$1M,N/A,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),N/A,Aye Aye Maw,MawAA@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Information Center Staffing Services,FSI/EX/ISD,R,611710 - Educational Support Services,Set Aside,>$500K and <$1M,PTFS,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,Judy MIlls,jmills@ptfs.com,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,IT Services & Support,CGFS/GFSS,R,541519 - Other Computer Related Services,Competitive - Full and Open,>$20M and <$50M,The Mil Corp,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Sally Zottnick,zottnickrm@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Contract-Program Evaluation,CA/VO,N,541611 - Administrative Management and General Management Consulting Services,TBD,>$150K and <$500K,N/A,Less than 12 Months,Quarter 2 (Jan-Mar),N/A,Daria Darnell,CA-Vendor-Inquiries@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,IT Services and Support,CGFS/GFMS,R,541519 - Other Computer Related Services,Competitive - Full and Open,>$50M and <$100M,The Mil Corp,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Kevin Jankovits,jankovitskr@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Contract-Visa Office Support,CA/VO,R,541611 - Administrative Management and General Management Consulting Services,Service Disabled Veteran Owned Small Business Competed,>$50M and <$100M,QSI,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Daria Darnell,CA-Vendor-Inquiries@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,IT Services and Support,CGFS/DCFO,R,541519 - Other Computer Related Services,Competitive - Full and Open,>$5M and <$10M,The Mil Corp,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Troy Scaptura,scapturata@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Contract - File digitization,CA/VO,N,561410 - Document Preparation Services,TBD,>$150K and <$500K,N/A,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Daria Darnell,CA-Vendor-Inquiries@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,IT Services and Support,CGFS/GFO,R,541519 - Other Computer Related Services,Competitive - Full and Open,>$20M and <$50M,The Mil Corp,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Shari Clark,clarksp2@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,IT Services and Support,CGFS/C,R,541519 - Other Computer Related Services,Competitive - Full and Open,>$10M and <$20M,The Mil Corp,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Earl Grady,gradyes@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Contract - Quality Assurance at NVC,CA/VO,N,541611 - Administrative Management and General Management Consulting Services,TBD,>$1M and <$5M,N/A,Base + 4 Option Periods (5yrs),Quarter 1 (Oct-Dec),N/A,Daria Darnell,CA-Vendor-Inquiries@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,IT Services and Support,CGFS/GFMS,R,541519 - Other Computer Related Services,Set Aside,>$20M and <$50M,Geneva,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),N/A,Cecilia Dussing,dussingc@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Contract support specialist for Visa Office,CA/VO,N,541611 - Administrative Management and General Management Consulting Services,TBD,>$500K and <$1M,N/A,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Daria Darnell,CA-Vendor-Inquiries@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,LMI Transition/Logistics Professional Managment and Administrative Service for SCA,NEA-SCA/EX,N,541618 - Other Management Consulting Services,Set Aside,>$1M and <$5M,N/A,More than 12 Months with varying option periods.,Quarter 1 (Oct-Dec);#Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),Worldwide,Sanford Crenshaw,CrenshawST@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,IT Services and Support,CGFS/GFMS,R,541519 - Other Computer Related Services,Set Aside,>$10M and <$20M,Geneva,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),N/A,Kathy Dehm,dehmka@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,IT Services and Support,CGFS/GFMS,R,541519 - Other Computer Related Services,Set Aside,>$5M and <$10M,Geneva,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),N/A,Sam Yang,yangss2@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Budget Support - Professional Management and Administrative Services,NEA-SCA/EX,R,541618 - Other Management Consulting Services,TBD,>$150K and <$500K,STG,Base Option Period (1yr),Quarter 1 (Oct-Dec);#Quarter 2 (Jan-Mar),Worldwide,Sanford Crenshaw,CrenshawST@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Mail Room Courier,CA/EX/GSD,N,541611 - Administrative Management and General Management Consulting Services,Set Aside,>$500K and <$1M,N/A,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),N/A,Robert Stegeman,CA-Vendor-Inquiries@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Audio Visual Support,CA/EX/GSD,N,541611 - Administrative Management and General Management Consulting Services,Set Aside,>$500K and <$1M,N/A,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),N/A,Paul Bassar,CA-Vendor-Inquiries@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Travel Consulting,CA/EX/GSD,N,541618 - Other Management Consulting Services,Competitive - Full and Open,>$1M and <$5M,The Mil Corp,Less than 12 Months,Quarter 2 (Jan-Mar),N/A,Gloria Prettiman,CA-Vendor-Inquiries@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,ALiSS Life Support Services- Afghanistan,NEA-SCA/EX,N,541618 - Other Management Consulting Services,Competitive - Full and Open,>$10M and <$20M,N/A,More than 12 Months with varying option periods.,Quarter 1 (Oct-Dec);#Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep);#Quarter 2 (Jan-Mar),Worldwide,Sanford Crenshaw,CrenshawST@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,"The Bureau of Population, Refugees, and Migration (PRM) aims to obtain a contractor to conduct monitoring of U.S. assistance programs for Afghan refugees, refugee returnees, and internally displaced persons (IDPs) supported by PRM and its partners.",PRM/ECA,N,928120 - International Affairs,Competitive - Full and Open,>$1M and <$5M,N/A,Base Option Period (1yr),Quarter 2 (Jan-Mar),Afghanistan,"Mestetsky, Emily A",MestetskyEA@state.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,HR Support,CA/EX/HRD,N,541611 - Administrative Management and General Management Consulting Services,Set Aside,>$500K and <$1M,Beacon Associates,Less than 12 Months,Quarter 2 (Jan-Mar),N/A,Gloria Prettiman,CA-Vendor-Inquiries@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Consular Data Analytics Project,CA/FPP,N,928110 - National Security,Competitive - Full and Open,>$1M and <$5M,N/A,More than 12 Months with varying option periods.,Quarter 3 (Apr-Jun),N/A,Stephen Ashby,CA-Vendor-Inquiries@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,"Management, leadership, & innovation consulting; curriculum and tool development; web design",CA/1CA,N,541618 - Other Management Consulting Services,Set Aside,>$1M and <$5M,Price Waterhouse Coopers,More than 12 Months with varying option periods.,Quarter 2 (Jan-Mar),N/A,Paul Bassar,CA-Vendor-Inquiries@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Warehouse Support,CA/EX/GSD,N,561210 - Facilities Support Services,Set Aside,>$1M and <$5M,Lunmark,Less than 12 Months,Quarter 2 (Jan-Mar),N/A,Gloria Prettiman,CA-Vendor-Inquiries@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,GSS Program Support ,CA/EX/GSD,N,541611 - Administrative Management and General Management Consulting Services,Competitive - Full and Open,>$5M and <$10M,Deloitte,Less than 12 Months,Quarter 3 (Apr-Jun),N/A,Paul Bassar,CA-Vendor-Inquiries@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Contract - Quality Assurance at KCC,CA/VO,R,541611 - Administrative Management and General Management Consulting Services,TBD,>$1M and <$5M,ATSG,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,Daria Darnell,CA-Vendor-Inquiries@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,HR Classification,CA/EX/HRD,N,541611 - Administrative Management and General Management Consulting Services,Set Aside,>$500K and <$1M,STG,Less than 12 Months,Quarter 3 (Apr-Jun),N/A,Gloria Prettiman,CA-Vendor-Inquiries@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Financial Analyst,CA/C,N,541611 - Administrative Management and General Management Consulting Services,TBD,>$500K and <$1M,The Mil Corp,Less than 12 Months,Quarter 2 (Jan-Mar),N/A,Gloria Prettiman,CA-Vendor-Inquiries@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Management Analyst,CA/C,N,541611 - Administrative Management and General Management Consulting Services,Set Aside,>$500K and <$1M,Henderson Group,Less than 12 Months,Quarter 2 (Jan-Mar),N/A,Gloria Prettiman,CA-Vendor-Inquiries@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Administrative Support,CA/C,N,541611 - Administrative Management and General Management Consulting Services,Set Aside,>$500K and <$1M,Symtech,Less than 12 Months,Quarter 2 (Jan-Mar),N/A,Gloria Prettiman,CA-Vendor-Inquiries@state.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Administrative Support,CA/P,N,541611 - Administrative Management and General Management Consulting Services,Set Aside,>$150K and <$500K,Beacon Associates,Less than 12 Months,Quarter 2 (Jan-Mar),N/A,Paul Bassar,CA-Vendor-Inquiries@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Administrative Support,CA/P,N,541611 - Administrative Management and General Management Consulting Services,Set Aside,>$150K and <$500K,Henderson Group,Less than 12 Months,Quarter 2 (Jan-Mar),N/A,Paul Bassar,CA-Vendor-Inquiries@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Administrative Support,CA/OCS,N,541611 - Administrative Management and General Management Consulting Services,Set Aside,>$1M and <$5M,Symtech,Less than 12 Months,Quarter 4 (Jul-Sep),N/A,Gloria Prettiman,CA-Vendor-Inquiries@state.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Mail Room Assistant,CA/EX/GSD,R,561210 - Facilities Support Services,Set Aside,>$1M and <$5M,K4 Solutions,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,Gloria Prettiman,CA-Vendor-Inquiries@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Admin Support,CA/EX/GSD,R,541611 - Administrative Management and General Management Consulting Services,Set Aside,>$1M and <$5M,Renhill Staffing,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,Gloria Prettiman,CA-Vendor-Inquiries@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Senior Advisor to the Executive Director,CA/EX/GSD,R,541611 - Administrative Management and General Management Consulting Services,Set Aside,>$1M and <$5M,Obxtek,Base + 2 Option Periods (3yrs),Quarter 4 (Jul-Sep),Worldwide,Gloria Prettiman,CA-Vendor-Inquiries@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Production Contract,CA/PPT/S/PPS,R,561210 - Facilities Support Services,Competitive - Full and Open,>$100M and <$500M,CGI,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Sam Raya,CA-Vendor-Inquiries@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,HQ Program and Admin Service Contract,CA/PPT/S/PPS,R,561210 - Facilities Support Services,Set Aside,>$100M and <$500M,CGI,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Shamere Mack,CA-Vendor-Inquiries@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Critical Supplies Contract,CA/PPT/S/PPS,R,"541614 - Process, Physical Distribution, and Logistics Consulting Services",Set Aside,>$20M and <$50M,CGI,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Shamere Mack,CA-Vendor-Inquiries@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Architecture Support Service Contract,CA/PPT/S/PPS,R,541310 - Architectural Services,Set Aside,>$5M and <$10M,CGI,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Sam Raya,CA-Vendor-Inquiries@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Contractor/Personnel,EUR-IO/EX/GSD,N,561110 - Office Administrative Services,8(a) Competitive,>$5M and <$10M,Buchanan and Edwards,Base + 3 Option Periods (4yrs),Quarter 4 (Jul-Sep),N/A,Jon Arbin,ArbinJS@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Armored Car Services,CA/PPT/S/PPS,R,561613 - Armored Car Services,Competitive - Full and Open,>$1M and <$5M,Dunbar,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Adam Tremper,CA-Vendor-Inquiries@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Vital Records Verification,CA/PPT/S/PPS,R,813920 - Professional Organizations,Not Competed – Other Than Small Business,>$1M and <$5M,NAPHSIS,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Adam Tremper,CA-Vendor-Inquiries@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
