"GSA
Organization",Region,Award Status,Product or Service Description,"Place of Performance
(City)","Place of Performance
(State)",Primary NAICS Code,Socioeconomic Category,Contract Type,Procurement Method,Competition Strategy,From (Min),To (Max),Delivery Order Value,"Incumbent Contractor Name
(if applicable)","Contract/Order Number
(if applicable)","New Requirement
or Exercise of Option or Recompete",Funding Agency/Office,Estimated Solicitation Date,"Link to Solicitation in FedBizOpps
(if available)","Estimated Award Fiscal Year
and Quarter","Point of Contact
(Name)","Point of Contact
(Email Address)",OSBU Small Business Technical Advisor (SBTA),Additional Information
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Custodial and Related Services,Abingdon,VA,561720,AbilityOne,Fixed Price with Economic Price Adjustment,Indefinite Delivery Indefinite Quantity-IDIQ,Full and Open Competition,68388,80000,n/a,Maine Real Estate Mgmt,GS03P12CDD0018,Option,GSA funded,NA,,FY 2016-3rd Quarter,Dan Langan,daniel.langan@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",Option Year
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Custodial and Related Services,Parkersburg,WV,561720,AbilityOne,Fixed Price with Economic Price Adjustment,Ability One,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",70800,85000,n/a,Integrated Resources,GS03P13CDD0030,Option,GSA funded,NA,,FY 2016-3rd Quarter,Dan Langan,daniel.langan@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",Option Year
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Custodial and Related Services,Philadelphia,PA,561720,AbilityOne,Fixed Price with Economic Price Adjustment,Ability One,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",100000,125000,n/a,Elywn Industries,GS03P12AZD0037,Option,GSA funded,NA,,FY 2016-3rd Quarter,Samantha Bohne,samantha.bohne@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",Option Year
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Custodial and Related Services,Greensburg,PA,561720,AbilityOne,Fixed Price with Economic Price Adjustment,Ability One,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",32800,40000,n/a,Goodwill Commercial Services,GS03P12CDD0002,Option,GSA funded,NA,,FY 2016-3rd Quarter,Dan Langan,daniel.langan@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",Option Year
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Custodial and Related Services,Chambersburg,PA,561720,Small Business,Fixed Price with Economic Price Adjustment,Ability One,"Full and Open after exclusion of sources (competitive small business set-asides, competitive 8a)",19000,25000,n/a,"Alliant Support Services, Inc.",GS03P12DXD0002,Option,GSA funded,NA,,FY 2016-3rd Quarter,Priscilla Bryant,priscilla.bryant@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",Option Year
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Custodial and Related Services,Hazelton,PA,561720,AbilityOne,Fixed Price with Economic Price Adjustment,Ability One,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",35000,40000,n/a,Allied Heath Care Services,GS03P14CDD0015,Option,GSA funded,NA,,FY 2016-3rd Quarter,Diana McLain,diana.mclain@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",Option Year
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Custodial and Related Services,Camden,NJ,561720,AbilityOne,Fixed Price with Economic Price Adjustment,Ability One,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",1178152,1250000,n/a,Occupational Training Center of Burlington County,GS03P14CDD0040,Option,GSA funded,NA,,FY 2016-3rd Quarter,Dan Langan,daniel.langan@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Custodial and Related Services,Lehigh Valley Airport,PA,561720,AbilityOne,Fixed Price with Economic Price Adjustment,Ability One,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",18000,20000,n/a,Via of the Valley,GS03P13AZD0022,Option,GSA funded,NA,NA,FY 2016-4th Quarter,Shannon Scureman,shannon.scureman@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",airport location
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Custodial and Related Services,Harrisburg,PA,561720,AbilityOne,Fixed Price with Economic Price Adjustment,Ability One,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",500000,550000,n/a,"Goodwill Services, Inc.",GS03P12CDD0054,Option,GSA funded,NA,NA,FY 2016-4th Quarter,Diana McLain,diana.mclain@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",option year
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Custodial and Related Services,Big Stone Gap,VA,561720,Small Business,Fixed Price with Economic Price Adjustment,Negotiated,"Full and Open after exclusion of sources (competitive small business set-asides, competitive 8a)",45000,55000,n/a,Maine Real Estate Management LLC,GS03P13AZD0020,Option,GSA funded,NA,NA,FY 2016-4th Quarter,Maria Ali,maria.ali@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",option year
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Custodial and Related Services,Erie,PA,561720,AbilityOne,Fixed Price with Economic Price Adjustment,Ability One,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",215000,250000,n/a,Dr. Gertrude Barber,GS03P14CDD0047,Option,GSA funded,NA,NA,FY 2016-4th Quarter,Maria Ali,maria.ali@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",option year
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Custodial and Related Services,Scranton,PA,561720,AbilityOne,Fixed Price with Economic Price Adjustment,Ability One,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",450000,500000,n/a,Allied Health Care Services,GS03P11CDD0035,Option,GSA funded,NA,NA,FY 2016-4th Quarter,Dan Langan,daniel.langan@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",option year
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Custodial and Related Services,Summersville,WV,561720,AbilityOne,Fixed Price with Economic Price Adjustment,Ability One,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",555500,600000,n/a,"Sheltered Workshop of Nicholas County, Inc.",GS03P11CDD0031,Option,GSA funded,NA,NA,FY 2016-4th Quarter,Michelle.Bohm,michelle.bohm@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",option year
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Custodial and Related Services,Richmond,VA,561720,AbilityOne,Fixed Price with Economic Price Adjustment,Ability One,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",1600000,1750000,n/a,"Goodwill Services, Inc.",GS03P11QMC0021,Option,GSA funded,NA,Na,FY 2016-4th Quarter,Lloyd Jenkins,lloyd.jenkins@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Custodial and Related Services,Williamsport,PA,561720,AbilityOne,Fixed Price with Economic Price Adjustment,Ability One,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",185000,200000,n/a,Hope Enterprises,GS03P12CDD0028,Option,GSA funded,NA,NA,FY 2016-4th Quarter,Daniel Langan,daniel.langan@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",option year
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Custodial and Related Services,Lynchburg,VA,561720,AbilityOne,Fixed Price with Economic Price Adjustment,Ability One,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",140000,155000,n/a,Goodwill Industries of the Valley,GS03P12QMC0003,Option,GSA funded,NA,NA,FY 2016-4th Quarter,Lloyd Jenkins,lloyd.jenkins@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",option year
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Custodial and Related Services,Ashland,KY,561720,AbilityOne,Fixed Price with Economic Price Adjustment,Ability One,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",150000,175000,n/a,"Prestera Center for Mental Health Services, Inc.",GS03P13CDD0012,Option,GSA funded,NA,NA,FY 2016-4th Quarter,Diana McLain,diana.mclain@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",option year
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Custodial Inspection Services,Baltimore,MD,561720,Small Business,Fixed Price with Economic Price Adjustment,Contract,Set-Aside,55000,60000,n/a,Patricia D Quarles,,Option,GSA funded,NA,NA,FY 2016-4th Quarter,Oliver Lester,oliver.lester@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",option year
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Custodial and Related Services,Bridgeton,DE,561720,AbilityOne,Fixed Price with Economic Price Adjustment,Ability One,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",432000,450000,n/a,"Opportunity Center, Inc.",GS03P14CDD0038,Option,GSA funded,NA,NA,FY 2016-4th Quarter,Diana McLain,diana.mclain@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",option year
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Operations and Maintenance,Baltimore,MD,561210,Small Business,Fixed Price with Economic Price Adjustment,Negotiated,"Full and Open after exclusion of sources (competitive small business set-asides, competitive 8a)",3000000,3050000,n/a,HAI-WW,GS03P09DXD0037,Option,GSA funded,NA,NA,FY 2016-4th Quarter,Daniel Langan,daniel.langan@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",option year
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Elevator Maintenance,Harrisburg,PA,561210,Other Than Small,Fixed Price with Economic Price Adjustment,Contract modification,Full and Open Competition,31200,40000,n/a,Schindler Elevator Corp,GS03P12AZD0019,Option,GSA funded,NA,NA,FY 2016-4th Quarter,Maria Ali,maria.ali@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",option year
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Good Neighbhor Program-Sidewalk Sweeping,Philadelphia,PA,561730,Other Than Small,Firm Fixed Price,Contract,Sole Source,104000,110000,n/a,Center City District,GS03P14AZC0028,Option,GSA funded,NA,NA,FY 2016-4th Quarter,Karen Sims,karen.sims@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",Good Neighbor Program
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Elevator Maintenance,Williamsport,PA,561210,Small Business,Fixed Price with Economic Price Adjustment,Negotiated,"Full and Open after exclusion of sources (competitive small business set-asides, competitive 8a)",30000,50000,n/a,Port Elevator Co.,GS03P12AZC0020,New Requirement,GSA funded,NA,NA,FY 2016-4th Quarter,Shannon Scureman,shannon.scureman@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Operations and Maintenance,Various,WV,561210,Small Business,Fixed Price with Economic Price Adjustment,Contract modification,"Full and Open after exclusion of sources (competitive small business set-asides, competitive 8a)",3600000,3700000,n/a,Northern Management,GS03P11CDD0004,Option,GSA funded,NA,NA,FY 2016-4th Quarter,Lloyd Jenkins,lloyd.jenkins@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",option
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,General Clerk,Pittsburgh,PA,561110,Small Business,Fixed Price with Economic Price Adjustment,Contract modification,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",184835,200000,n/a,Cogent Infotech Corporation,GS03P11DXD0019,Option,GSA funded,NA,NA,FY 2016-4th Quarter,Michelle Bohm,michelle.bohm@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",option
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Project Management Assistance,Philadelphia,PA,541513,Small Business,Fixed Price with Economic Price Adjustment,Contract modification,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",344000,375000,n/a,PROCON,GS03P12CDC0049,Option,GSA funded,NA,NA,FY 2016-4th Quarter,Priscilla Bryant,priscilla.bryant@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",option
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Good Neighbhor Program-Sidewalk Sweeping,Baltimore,MD,561730,Other Than Small,Firm Fixed Price,Contract,Sole Source,47000,60000,n/a,Downtown Partnership of Baltimore,GS03P14QAP0034,New Requirement,GSA funded,NA,NA,FY 2016-4th Quarter,Oliver Lester,lindsay.gottschall@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",Good Neighbhor Program
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Operations and Maintenance,Greensburg,PA,561210,Small Business,Fixed Price with Economic Price Adjustment,Contract modification,"Full and Open after exclusion of sources (competitive small business set-asides, competitive 8a)",8000,10000,n/a,Vince's Building Contractors,GS03P13QKC0034,Option,GSA funded,NA,NA,FY 2016-4th Quarter,Shannon Scureman,shannon.scureman@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Good Neighbhor Program-Sidewalk Sweeping,Norfolk,VA,561730,Other Than Small,Firm Fixed Price,Negotiated,Sole Source,16600,20000,n/a,Downtown Norfolk Development Corporation,GS03P13QPP0009,New Requirement,GSA funded,NA,NA,FY 2016-4th Quarter,Lee Branscomb,lee.branscomb@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",Good Neighbhor Program
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Operations and Maintenance,Fairmont,WV,561210,Small Business,Fixed Price with Economic Price Adjustment,Contract modification,"Full and Open after exclusion of sources (competitive small business set-asides, competitive 8a)",667600,700000,n/a,Facility Support Services,GS03P13DXD0021,Option,Both,NA,NA,FY 2016-4th Quarter,Diana McLain,diana.mclain@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",Option
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Fire Alarm Monitoring,Philadelphia,PA,561621,Small Business,Fixed Price with Economic Price Adjustment,Contract modification,"Full and Open after exclusion of sources (competitive small business set-asides, competitive 8a)",4000,6000,n/a,Novino Technologies,GS03P14QHP0033,Option,GSA funded,NA,NA,FY 2016-4th Quarter,Karen Sims,karen.sims@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",option
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,HSPD-12 Support Services,Woodlawn,MD,541513,Small Disadvantaged Business (includes Section 8a),Fixed Price with Economic Price Adjustment,Contract modification,"Full and Open after exclusion of sources (competitive small business set-asides, competitive 8a)",75000,100000,n/a,One Federal Solution,GS03P14CDC0061,Option,GSA funded,NA,NA,FY 2016-4th Quarter,Oliver Lester,oliver.lester@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",Option
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Operations and Maintenance,"Multiple locations in PA and NJ, Del Valley",NJ,521210,Small Business,Fixed Price with Economic Price Adjustment,Contract modification,"Full and Open after exclusion of sources (competitive small business set-asides, competitive 8a)",3000000,3200000,n/a,CTS-WW,GS03P09AZD0015,Option,GSA funded,NA,NA,FY 2016-1st Quarter,Lloyd Jenkins,lloyd.jenkins@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",option
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Elevator Inspection,PHiladelphia,PA,561210,Small Business,Fixed Price with Economic Price Adjustment,Contract modification,"Full and Open after exclusion of sources (competitive small business set-asides, competitive 8a)",8000,9000,n/a,AA Casa,GS03P11QHP0053,Option,GSA funded,2015-10-01,,FY 2016-1st Quarter,Karen Sims,karen.sims@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Elevator Maintenance,Philadelphia,PA,561210,Other Than Small,Fixed Price with Economic Price Adjustment,Contract modification,Full and Open,46000,50000,n/a,Schindler Elevator,GS03P11AZD0004,Option,GSA funded,NA,NA,FY 2016-1st Quarter,Priscilla Bryant,priscilla.bryant@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",option
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Operations and Maintenance,Multiple PA Locations,PA,561210,Small Business,Fixed Price with Economic Price Adjustment,Contract modification,"Full and Open after exclusion of sources (competitive small business set-asides, competitive 8a)",1425000,1500000,n/a,"WW Contractors, Incorporated",GS03P05AZC0003,Option,GSA funded,NA,NA,FY 2016-1st Quarter,Lloyd Jenkins,lloyd.jenkins@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",Option
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Custodial and Related Services,Parkersburg,WV,561720,AbilityOne,Fixed Price with Economic Price Adjustment,Ability One,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",280000,300000,n/a,SW Resources,GS03P12AZD0038,Option,GSA funded,NA,NA,FY 2016-1st Quarter,Maria Ali,maria.ali@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",option
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Custodial and Related Services,Martinsburg,WV,561720,AbilityOne,Fixed Price with Economic Price Adjustment,Ability One,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",513000,550000,n/a,Hagerstown Goodwill,,Recompete,GSA funded,NA,NA,FY 2016-1st Quarter,Michelle Bohm,michelle.bohm@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",New source America
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Custodial and related Services,Huntington,WV,561210,AbilityOne,Fixed Price with Economic Price Adjustment,Ability One,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",375000,400000,n/a,"Prestera Center for Mental Health Services, Inc.",GS03P13CDD0021,Option,GSA funded,NA,NA,FY 2016-1st Quarter,Samantha Bohne,Samantha.Bohne@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Custodial and related Services,Mt. Hope,WV,561210,AbilityOne,Fixed Price with Economic Price Adjustment,Ability One,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",430000,450000,n/a,Integrated Resources,GS03P13DXD0002,Option,GSA funded,NA,NA,FY 2016-1st Quarter,Diana McLain,Diana.mclain@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",option
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Custodial and related Services,Pittsburgh,PA,561210,AbilityOne,Fixed Price with Economic Price Adjustment,Ability One,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",1250000,1230000,n/a,Goodwill Commercial Services,GS03P14AZD0003,Option,GSA funded,NA,NA,FY 2016-1st Quarter,Maria Ali,maria.ali@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",option
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Custodial and related Services,Philadelphia,PA,561210,Small Disadvantaged Business (includes Section 8a),Fixed Price with Economic Price Adjustment,Negotiated,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",267723.31,267723.31,n/a,H&S Corporation,GS03P16CDD7000,Recompete,GSA funded,NA,NA,FY 2016-1st Quarter,Michelle Bohm,michelle.bohm@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",PHL airport
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Custodial and related Services,Charlestown,WV,561210,AbilityOne,Fixed Price with Economic Price Adjustment,Ability One,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",585000,600000,n/a,"Goodwill Industries of Kanawha Valley, Inc.",GS03P12AZD0043,Option,GSA funded,NA,NA,FY 2016-1st Quarter,Maria Ali,maria.ali@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",option
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Custodial & Related SErvices,Norfolk,VA,561210,Small Disadvantaged Business (includes Section 8a),Fixed Price with Economic Price Adjustment,Negotiated,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",31000,40000,n/a,W.B. Contracting Group,New Requirement,Recompete,GSA funded,Na,NA,FY 2016-2nd Quarter,Lee Branscomb,lee.branscomb@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",new for Norfolk Airport
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Solicitation Issued,Central Support Services & Digital Mgmt BPA,Region 3,PA,561110,Small Business,Fixed Price with Economic Price Adjustment,Blanket Purchase Agreement-BPA,Limited Sources FSS Order,5000000,5000000,n/a,Quality Management Services,New Requirement,Recompete,GSA funded,NA,NA,FY 2016-2nd Quarter,Stephanie Hill,stephanie.hill@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Solicitation Issued,Central Support Services bpa call,Philadelphia,PA,561110,Small Business,Fixed Price with Economic Price Adjustment,BPA Call,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",200000,300000,n/a,n/a,New Requirement,Recompete,GSA funded,NA,NA,FY 2016-2nd Quarter,stephanie Hill,stephanie.hill@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",bpa call
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Solicitation Issued,IDIQ for MD. Projects under $150k.,Baltimore,MD,236220,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,"Full and Open after exclusion of sources (competitive small business set-asides, competitive 8a)",5000000,5000000,n/a,n/a,New Requirement,New Requirement,GSA funded,2015-12-01,,FY 2016-3rd Quarter,Theresa Weikel,theresa.weikel@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",$5M is the MOL of the IDIQ over 5 years
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Fallon FOB Cyclical Painting (8th - 16th) - MD0055ZZ,Baltimore,MD,236220,Service Disabled Veteran-owned Small Business,Firm Fixed Price,Negotiated,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",100000,500000,n/a,n/a,New Requirement,New Requirement,GSA funded-PBS,2016-01-01,,FY 2016-2nd Quarter,Oliver Lester,oliver.lester@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",Will solicit to SBA 8(a) vendor
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,CMS Exterior Maintenance - MD0415H,Woodlawn,MD,236220,Small Disadvantaged Business (includes Section 8a),Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,50000,100000,n/a,n/a,New Requirement,New Requirement,GSA funded-PBS,2015-04-01,,FY 2016-4th Quarter,Oliver Lester,oliver.lester@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",Will solicit from Micro IDIQ Multiple Award term contractors
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,US Courthouse Exterior Improvement - WV0053ZZ,Martinsburg,WV,236220,Woman-Owned Small Business,Firm Fixed Price,Order under IDV,Competitive Delivery Order - Fair Opportunity Provided,100000,250000,n/a,n/a,New Requirement,New Requirement,GSA funded-PBS,2015-11-01,,FY 2016-1st Quarter,Blair Hayes,blair.hayes@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",Will solicit to IDIQ Multiple Award term contractor
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Poff FOB Security System Upgrade - VA0095ZZ,Roanoke,VA,236220,Woman-Owned Small Business,Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,50000,100000,n/a,n/a,New Requirement,New Requirement,GSA funded-PBS,2016-01-15,,FY 2016-2nd Quarter,Blair Hayes,blair.hayes@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",Will solicit to IDIQ Multiple Award term contractor
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Maude R Touslon FOB Window Replacement - MD0033ZZ,Salisbury,MD,236220,Service Disabled Veteran-owned Small Business,Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,100000,500000,n/a,n/a,New Requirement,New Requirement,GSA funded-PBS,2016-01-01,,FY 2016-2nd Quarter,Lee Branscomb,lee.branscomb@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",Will solicit to IDIQ Multiple Award term contractor
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Norfolk FOB Parking Garage Rain Leaders - VA1608ZZ,Norfolk,VA,236220,Service Disabled Veteran-owned Small Business,Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,50000,100000,n/a,n/a,New Requirement,New Requirement,GSA funded-PBS,2016-05-15,,FY 2016-4th Quarter,Lee Branscomb,lee.branscomb@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",Will solicit to IDIQ Multiple Award term contractor
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Lower Parking Lot Exterior Lights,Philadelphia,PA,236220,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Full and Open Competition,25000,50000,n/a,n/a,New Requirement,New Requirement,GSA funded,2015-11-12,,FY 2016-1st Quarter,Ana Marrero,ana.merreo@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",Will solicit from existing IDIQ Multiple Award term contractors
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Cooridor shell work,Trenton,NJ,236220,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Full and Open Competition,10000,25000,n/a,n/a,New Requirement,New Requirement,GSA funded,2015-11-23,,FY 2016-1st Quarter,Ana Marrero,ana.merreo@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",Will solicit from existing IDIQ Multiple Award term contractors
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Ceiling Tile replacement,Greensburg,PA,236220,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Full and Open Competition,50000,100000,n/a,n/a,New Requirement,New Requirement,GSA funded,2015-11-02,,FY 2016-1st Quarter,Shannon Scureman,shannon.scureman@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",Will solicit from existing IDIQ Multiple Award term contractors
