agency,estimated_fiscal_year,description,office,naics,socioeconomic,award-amount,estimated_fiscal_year_quarter,place_of_performance_state
state,FY 16,Nairobi NOX Phase I - Design Award,M/OBO/PDCS/PDC,541310,TBD,>$5M and <$10M,Quarter 2 (Jan-Mar),Kenya
state,FY 16,Seoul NEC - Design,M/OBO/PDCS/PDC,541310,TBD,>$10M and <$20M,Quarter 2 (Jan-Mar),South Korea
state,FY 16,Shanghai NCC - Predesign,M/OBO/PDCS/PDC,541310,TBD,>$1M and <$5M,Quarter 1 (Oct-Dec),China
state,FY 16,Baghdad Diplomatic Support Center Security Upgrade - Bridging Design Award,M/OBO/PDCS/PDC,541310,TBD,>$150K and <$500K,Quarter 1 (Oct-Dec),Iraq
state,FY 16,Baghdad Diplomatic Support Center Security Upgrade - Design/Build Award,M/OBO/PDCS/PDC,236220,Competitive - Full and Open,>$5M and <$10M,Quarter 4 (Jul-Sep),Iraq
state,FY 16,Shenyang CA Initiative - Construction Award,M/OBO/PDCS/PDC,236220,TBD,>$10M and <$20M,Quarter 2 (Jan-Mar),China
state,FY 16,Sofia CMR - Design,M/OBO/PDCS/PDC,541310,TBD,>$1M and <$5M,Quarter 4 (Jul-Sep),Bulgaria
state,FY 16,Suva Lookback - Design/Build Award,M/OBO/PDCS/PDC,236220,Competitive - Full and Open,>$150K and <$500K,Quarter 2 (Jan-Mar),Fiji
state,FY 16,Tegucigalpa NEC - Design Award,M/OBO/PDCS/PDC,541310,TBD,>$20M and <$50M,Quarter 1 (Oct-Dec),Honduras
state,FY 16,Tunis MSG Residence - Design/Build Award,M/OBO/PDCS/PDC,236220,Competitive - Full and Open,>$20M and <$50M,Quarter 4 (Jul-Sep),Tunisia
state,FY 16,Udon Thani - Construction Award,M/OBO/PDCS/PDC,236220,TBD,>$1M and <$5M,Quarter 2 (Jan-Mar),Thailand
state,FY 16,Baghdad Security Upgrade - Bridging Design Award,M/OBO/PDCS/PDC,541310,TBD,>$1M and <$5M,Quarter 1 (Oct-Dec),Iraq
state,FY 16,Baghdad Security Upgrade - Design/Build Award,M/OBO/PDCS/PDC,236220,Competitive - Full and Open,>$20M and <$50M,Quarter 4 (Jul-Sep),Iraq
state,FY 16,US Mission Geneva CSU - Construction Award,M/OBO/PDCS/PDC,236220,TBD,>$10M and <$20M,Quarter 4 (Jul-Sep),Switzerland
state,FY 16,Bangkok Enlarge ACS Office Area - Construction Award,M/OBO/PDCS/PDC,236220,Competitive - Full and Open,>$1M and <$5M,Quarter 2 (Jan-Mar),Thailand
state,FY 16,US Mission Geneva CSU - Design Award,M/OBO/PDCS/PDC,541310,TBD,>$1M and <$5M,Quarter 3 (Apr-Jun),Switzerland
state,FY 16,Bangkok NOX - Bridging Design Award,M/OBO/PDCS/PDC,541310,TBD,>$20M and <$50M,Quarter 4 (Jul-Sep),Thailand
state,FY 16,Vancouver Security Upgrade - Construction Award,M/OBO/PDCS/PDC,236220,Competitive - Full and Open,>$1M and <$5M,Quarter 2 (Jan-Mar),Canada
state,FY 16,Basra Consulate General Security Upgrade - Bridging Design Award,M/OBO/PDCS/PDC,541310,TBD,>$500K and <$1M,Quarter 1 (Oct-Dec),Iraq
state,FY 16,Vienna Chancery Rehab - Design Award,M/OBO/PDCS/PDC,541310,TBD,>$10M and <$20M,Quarter 4 (Jul-Sep),Austria
state,FY 16,Basra Consulate General Security Upgrade - Design/Build Award,M/OBO/PDCS/PDC,236220,Competitive - Full and Open,>$5M and <$10M,Quarter 4 (Jul-Sep),Iraq
state,FY 16,Vienna Chancery Rehab - Predesign A/E Services Award,M/OBO/PDCS/PDC,541310,TBD,>$500K and <$1M,Quarter 1 (Oct-Dec),Austria
state,FY 16,Vienna MSGR - Bridging Design Award,M/OBO/PDCS/PDC,541310,TBD,>$1M and <$5M,Quarter 1 (Oct-Dec),Austria
state,FY 16,Windhoek Chancery Modifications for MSG - Construction Award,M/OBO/PDCS/PDC,236220,Competitive - Full and Open,>$10M and <$20M,Quarter 4 (Jul-Sep),Republic of Namibia
state,FY 16,Basra Deployment of MSG - Design/Build Award,M/OBO/PDCS/PDC,236220,Competitive - Full and Open,>$1M and <$5M,Quarter 1 (Oct-Dec),Iraq
state,FY 16,Basra Power Plant - Design/Build Award,M/OBO/PDCS/PDC,236220,Competitive - Full and Open,>$20M and <$50M,Quarter 2 (Jan-Mar),Iraq
state,FY 16,Windhoek Chancery Modifications for MSG - Design Award,M/OBO/PDCS/PDC,541310,TBD,>$500K and <$1M,Quarter 1 (Oct-Dec),Republic of Namibia
state,FY 16,Beirut NEC - Construction Award,M/OBO/PDCS/PDC,236220,Competitive - Full and Open,>$500M,Quarter 4 (Jul-Sep),Lebanon
state,FY 16,Belmopan Embassy Upgrades for MSG Detachment - Design/Build Award,M/OBO/PDCS/PDC,236220,Competitive - Full and Open,>$1M and <$5M,Quarter 1 (Oct-Dec),Belize
state,FY 16,Belo Horizonte CA Initiative - Construction Award,M/OBO/PDCS/PDC,236220,Competitive - Full and Open,>$20M and <$50M,Quarter 2 (Jan-Mar),Brazil
state,FY 16,Bern Compound Security - Design/Build Award,M/OBO/PDCS/PDC,236220,Competitive - Full and Open,>$5M and <$10M,Quarter 4 (Jul-Sep),Switzerland
state,FY 16,Brasilia Housing - Construction Award,M/OBO/PDCS/PDC,236220,Competitive - Full and Open,>$1M and <$5M,Quarter 3 (Apr-Jun),Brazil
state,FY 16,Brasilia Housing - Design Award,M/OBO/PDCS/PDC,541310,TBD,>$150K and <$500K,Quarter 1 (Oct-Dec),Brazil
state,FY 16,Wuhan CA Initiative - Construction Award,M/OBO/PDCS/PDC,236220,TBD,>$10M and <$20M,Quarter 2 (Jan-Mar),China
state,FY 16,Service Delivery Operations 2 (SDO2),CA/CST,541519,Competitive - Full and Open,>$100M and <$500M,Quarter 2 (Jan-Mar),Worldwide
state,FY 16,"Research, Innovation & Systems Engineering (RISE)",CA/CST,541519,Competitive - Full and Open,>$50M and <$100M,Quarter 4 (Jul-Sep),Worldwide
state,FY 16,Consular Systems and Modernization,CA/CST,541519,Competitive - Full and Open,>$100M and <$500M,Quarter 2 (Jan-Mar),N/A
state,FY 16,Education Consulting Services ,M/FA,611710,Competitive - Full and Open,>$150K and <$500K,Quarter 1 (Oct-Dec);#Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),N/A
state,FY 16,Fine Art Insurance ,M/FA,524210,Competitive - Full and Open,>$150K and <$500K,Quarter 1 (Oct-Dec);#Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),N/A
state,FY 16,Administrative Services ,A/OPR/GSM/SS,561110,Set Aside,>$20M and <$50M,Quarter 1 (Oct-Dec),N/A
state,FY 16,Lock Services ,A/OPR/GSM/SS,561622,Set Aside,>$5M and <$10M,Quarter 1 (Oct-Dec),N/A
state,FY 16,Fleet Management Consulting Services,A/OPR/GSM/FMO,(Pick One),TBD,>$500K and <$1M,Quarter 2 (Jan-Mar),N/A
state,FY 16,Group Transportation Services,A/OPR/GSM/FMO,(Pick One),Set Aside,>$500K and <$1M,Quarter 1 (Oct-Dec),N/A
state,FY 16,Group Transportation Services,A/OPR/GSM/FMO,(Pick One),Set Aside,>$1M and <$5M,Quarter 1 (Oct-Dec),N/A
state,FY 16,Group Transportation Services,A/OPR/GSM/FMO,(Pick One),Set Aside,>$500K and <$1M,Quarter 1 (Oct-Dec),N/A
state,FY 16,Department wide Microsoft Enterprise License Agreement,IRM/BMP/GRP,541519,Competitive - Full and Open,>$100M and <$500M,Quarter 1 (Oct-Dec),N/A
state,FY 16,Department wide Oracle Enterprise License Agreement,IRM/BMP/GRP,541519,Competitive - Full and Open,>$50M and <$100M,Quarter 3 (Apr-Jun),N/A
state,FY 16,Department wide Citrix Enterprise License Agreement,IRM/BMP/GRP,541519,Competitive - Full and Open,>$50M and <$100M,Quarter 4 (Jul-Sep),N/A
state,FY 16,Department wide Adobe Blanket Purchase Agreement,IRM/BMP/GRP,541519,Competitive - Full and Open,>$10M and <$20M,Quarter 1 (Oct-Dec),N/A
state,FY 16,Administrative and General Management Services,"IRM/PDCIO/VMO, IRM/OPS/MSO, IRM/OPS/SIO, IRM/FO/ITI",541611,8(a) Competitive,>$10M and <$20M,Quarter 4 (Jul-Sep),N/A
state,FY 16,Equipment - Switches,IRM/FO/ITI/GITM,334111,8(a) Competitive,>$20M and <$50M,Quarter 3 (Apr-Jun),N/A
state,FY 16,"Equipment - UPS, Servers and Storage",IRM/FO/ITI/GITM,334111,8(a) Competitive,>$10M and <$20M,Quarter 3 (Apr-Jun),N/A
state,FY 16,Equipment - Type C,IRM/FO/ITI/GITM,334111,TBD,>$20M and <$50M,Quarter 3 (Apr-Jun),N/A
state,FY 16,Equipment - Enterprise Back-up,IRM/FO/ITI/GITM,511210,(Pick One),(Pick One),Quarter 3 (Apr-Jun),N/A
state,FY 16,PMO Support,IRM/FO/ITI/GITM,541611,Competitive - Full and Open,>$5M and <$10M,Quarter 2 (Jan-Mar),N/A
state,FY 16,Facilities Management,IRM/FO/ITI/GITM,541611,Service Disabled Veteran Owned Small Business Competed,>$500K and <$1M,Quarter 2 (Jan-Mar),N/A
state,FY 16,NYFO Communications System Upgrade with WARN K Core Upgrade,IRM/OPS/ITI/LWS/RPB,334220,Competitive - Full and Open,>$1M and <$5M,Quarter 4 (Jul-Sep),N/A
state,FY 16,High Frequency Radio Contract,IRM/OPS/ITI/LWS/RPB,334220,Competitive - Full and Open,>$500K and <$1M,Quarter 2 (Jan-Mar),N/A
state,FY 16,Domestic and Overseas O&M Radio Equipment,IRM/OPS/ITI/LWS/RPB,334220,Competitive - Full and Open,>$150K and <$500K,Quarter 1 (Oct-Dec),N/A
state,FY 16,WARN Maintenance Contract,IRM/OPS/ITI/LWS/RPB,334220,Competitive - Full and Open,>$1M and <$5M,Quarter 2 (Jan-Mar),N/A
state,FY 16,State Radio Repeater Contract,IRM/OPS/ITI/LWS/RPB,334220,Competitive - Full and Open,>$1M and <$5M,Quarter 2 (Jan-Mar),N/A
state,FY 16,Motorola IDIQ Contract,IRM/OPS/ITI/LWS/RPB,334220,Competitive - Full and Open,>$1M and <$5M,Quarter 2 (Jan-Mar),N/A
state,FY 16,O&M Service to Supplemental Equip. at SA-5,A/OPR/FMS,561210,8(a) Competitive,>$150K and <$500K,Quarter 2 (Jan-Mar),N/A
state,FY 16,MAXIMO for HST and DOS Annexes,A/OPR/FMS,561210,8(a) Competitive,>$1M and <$5M,Quarter 3 (Apr-Jun),N/A
state,FY 16,Interior Plants for HST,A/OPR/FMS,561210,TBD,>$150K and <$500K,Quarter 2 (Jan-Mar),N/A
state,FY 16,Commercial Facility Management Services at NFATC,A/OPR/FMS,561210,Competitive - Full and Open,>$20M and <$50M,Quarter 2 (Jan-Mar),N/A
state,FY 16,"Elevators at HST, BH, ICC, BIMC, NFATC, SA-01",A/OPR/FMS,238290,TBD,>$5M and <$10M,Quarter 2 (Jan-Mar),N/A
state,FY 16,Caretaker at Potomac Annex,A/OPR/FMS,561210,8(a) Competitive,>$1M and <$5M,Quarter 2 (Jan-Mar),N/A
state,FY 16,"Lamping at HST, ICC, BH, SA-01",A/OPR/FMS,561210,8(a) Competitive,>$1M and <$5M,Quarter 2 (Jan-Mar),N/A
state,FY 16,"Custodial Services at BIMC, ICC, DOS Annexes and SA-01",A/OPR/FMS,561720,8(a) Competitive,>$5M and <$10M,Quarter 2 (Jan-Mar),N/A
state,FY 16,Operations and Maintenance at SA-01 and ICC,A/OPR/FMS,561210,8(a) Competitive,>$10M and <$20M,Quarter 4 (Jul-Sep),N/A
state,FY 16,Operations and Maintenance at HST and BH,A/OPR/FMS,561210,Competitive - Full and Open,>$50M and <$100M,Quarter 4 (Jul-Sep),N/A
state,FY 16,Commercial Facility Management Services for ESOC West ,A/OPR/FMS,561210,8(a) Competitive,>$5M and <$10M,Quarter 2 (Jan-Mar),N/A
state,FY 16,Privacy Compliance and Incident Response Management ,A/GIS/IPS/PRV,541611,TBD,>$500K and <$1M,Quarter 2 (Jan-Mar),N/A
state,FY 16,Microfilm Digitization and Review,A/GIS/IPS/RA,519190,TBD,>$150K and <$500K,Quarter 2 (Jan-Mar),N/A
state,FY 16,New Integrated Library System,A/GIS/IPS/LIBR,541519,TBD,>$150K and <$500K,Quarter 1 (Oct-Dec),N/A
state,FY 16,Subscription Agent,A/GIS/IPS/LIBR,424920,TBD,>$150K and <$500K,Quarter 1 (Oct-Dec),N/A
state,FY 16,Labor - Library Technicians,A/GIS/IPS/LIBR,561110,TBD,>$150K and <$500K,Quarter 1 (Oct-Dec),N/A
state,FY 16,IT Support Services,A/GIS/IPS/AAS,541519,TBD,>$5M and <$10M,Quarter 3 (Apr-Jun),N/A
state,FY 16,Copier Program Contract (Existing Copiers),A/GIS/GPS,541512,TBD,>$10M and <$20M,Quarter 3 (Apr-Jun),Multiple
state,FY 16,Secure File Transfer Solution  ,A/GIS/IPS/AAS,511210,Competitive - Full and Open,>$500K and <$1M,Quarter 2 (Jan-Mar),N/A
state,FY 16,Freedom of Information Document Management System (FREEDOMS) Modernization,A/GIS/IPS/AAS,541512,Set Aside,>$500K and <$1M,Quarter 2 (Jan-Mar),N/A
state,FY 16,Electronic Records Service Center (eRSC),A/GIS/IPS/AAS,541512,Set Aside,>$150K and <$500K,Quarter 2 (Jan-Mar),N/A
state,FY 16,State Archiving System Modernization,A/GIS/IPS/AAS,541512,Set Aside,>$150K and <$500K,Quarter 2 (Jan-Mar),N/A
state,FY 16,Print Management Information System ,A/GIS/IPS/AAS,511210,TBD,>$1M and <$5M,Quarter 2 (Jan-Mar),N/A
state,FY 16,IT Services and Support,A/GIS/DIR,541519,8(a) Competitive,>$5M and <$10M,Quarter 3 (Apr-Jun),N/A
state,FY 16,Risk Management Framework:  Assessment and Authorization,IRM/IA,541990,TBD,>$5M and <$10M,Quarter 1 (Oct-Dec),N/A
state,FY 16,"GRC software support, maintenance",IRM/IA,541990,TBD,>$500K and <$1M,Quarter 1 (Oct-Dec),N/A
state,FY 16,Assessment Tools and Laptops,IRM/IA,541990,TBD,>$150K and <$500K,Quarter 1 (Oct-Dec),N/A
state,FY 16,SharePoint Developer and Administrator,IRM/IA,541990,TBD,>$150K and <$500K,Quarter 1 (Oct-Dec),N/A
state,FY 16,Web Workflow and BI-Mgmt Sys Developers and Administrator,IRM/IA,541990,TBD,>$1M and <$5M,Quarter 1 (Oct-Dec),N/A
state,FY 16,"Integrated Personnel Management System (IPMS) Support and Development, Systems Devlopment",HR/EX,541512,8(a) Competitive,>$10M and <$20M,Quarter 4 (Jul-Sep),N/A
state,FY 16,"Integrated Personnel Management System (IPMS) Support and Development, Overseas Personnel System",HR/EX,541512,TBD,>$10M and <$20M,Quarter 3 (Apr-Jun),N/A
state,FY 16,EMC Maintenance Renewal,HR/EX,541512,Competitive - Full and Open,>$150K and <$500K,Quarter 4 (Jul-Sep),N/A
state,FY 16,Annual Government Retirements Benefits (GRB) Maintenance Renewal,HR/EX,541512,Competitive - Full and Open,>$500K and <$1M,Quarter 4 (Jul-Sep),N/A
state,FY 16,Annual QuickHire Maintenance Renewal,HR/EX,541512,Sole Source,>$500K and <$1M,Quarter 4 (Jul-Sep),N/A
state,FY 16,Annual Oracle 11g / Oracle RAC Maintenance Renewal,HR/EX,541512,Competitive - Full and Open,>$150K and <$500K,Quarter 4 (Jul-Sep),N/A
state,FY 16,Annual renewal for PeopleSoft Help Desk licenses,HR/EX,541519,Competitive - Full and Open,>$500K and <$1M,Quarter 4 (Jul-Sep),N/A
state,FY 16,Annual renewal for PeopleSoft licenses,HR/EX,541519,Competitive - Full and Open,>$500K and <$1M,Quarter 4 (Jul-Sep),N/A
state,FY 16,"Integrated Personnel Management System (IPMS) Support and Development, Sharepoint",HR/EX,541519,8(a) Competitive,>$10M and <$20M,Quarter 2 (Jan-Mar),N/A
state,FY 16,"Integrated Personnel Management System (IPMS) Support, Infrastructure",HR/EX,541519,8(a) Competitive,>$10M and <$20M,Quarter 4 (Jul-Sep),N/A
state,FY 16,"Integrated Personnel Management System (IPMS) Support and Development, Infrastructure",HR/EX,541519,8(a) Competitive,>$10M and <$20M,Quarter 4 (Jul-Sep),N/A
state,FY 16,Integrated Personnel Management System (IPMS) Alternatives Analysis ,HR/EX,541519,Competitive - Full and Open,>$500K and <$1M,Quarter 1 (Oct-Dec),N/A
state,FY 16,Overseas employment compensation reports,HR/OE,541519,TBD,>$1M and <$5M,Quarter 4 (Jul-Sep),N/A
state,FY 16,Overseas employment compensation reports,HR/OE,541519,TBD,>$1M and <$5M,Quarter 4 (Jul-Sep),N/A
state,FY 16,Overseas employment compensation reports,HR/OE,541519,TBD,>$1M and <$5M,Quarter 4 (Jul-Sep),N/A
state,FY 16,Overseas employment compensation reports,HR/OE,541519,TBD,>$1M and <$5M,Quarter 4 (Jul-Sep),N/A
state,FY 16,Sign Language Services,HR/ER,541519,TBD,>$1M and <$5M,Quarter 4 (Jul-Sep),N/A
state,FY 16,Sign Language Services,HR/ER,541519,TBD,>$500K and <$1M,Quarter 4 (Jul-Sep),N/A
state,FY 16,Sign Language Services,HR/ER,541519,TBD,>$500K and <$1M,Quarter 4 (Jul-Sep),N/A
state,FY 16,Readers for visually impaired,HR/ER,541519,8(a) Competitive,>$1M and <$5M,Quarter 4 (Jul-Sep),N/A
state,FY 16,Human Resources Support Contract - HR Support Services,ECA/EX/HR,541612,8(a) Competitive,>$1M and <$5M,Quarter 2 (Jan-Mar);#Quarter 1 (Oct-Dec),N/A
state,FY 16,ASPE Implementation Plan - Assesment of ASPE Final Report Recommendations,ECA-IIP/EX,541990,Sole Source,>$150K and <$500K,Quarter 2 (Jan-Mar);#Quarter 1 (Oct-Dec),N/A
state,FY 16,ECA BPA - Staffing and Support Services (BPA),ECA-IIP/EX,541990,Competitive - Full and Open,>$5M and <$10M,Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun),N/A
state,FY 16,EX/IT - FED52 - Optional Task for EX/IT Global Applications Support Contract,ECA-IIP/EX/IT,541512,8(a) Competitive,>$500K and <$1M,Quarter 1 (Oct-Dec);#Quarter 2 (Jan-Mar),N/A
state,FY 16,PKI Initiatives - Address Data at rest encryption concerns and CO-OP and NGO partner securing of e-mails.,ECA-IIP/EX,541512,Sole Source,>$500K and <$1M,Quarter 2 (Jan-Mar);#Quarter 1 (Oct-Dec),N/A
state,FY 16,SOA/API initiative - Implement Service Oriented Architecture (SOA) to move to a concolidated interface with DHS (SEVIS) and ASPE programs.  API to standardize data formats and quality.,ECA-IIP/EX,541512,Sole Source,>$150K and <$500K,Quarter 1 (Oct-Dec);#Quarter 2 (Jan-Mar),N/A
state,FY 16,Staffing - IIP Staffing Vehicle for generalists and specialiasts.,IIP/FO,541990,Competitive - Full and Open,>$20M and <$50M,Quarter 3 (Apr-Jun),N/A
state,FY 16,"Digital Writing, Analytics and Distribution - Contract for Editorial Content, Content Analytics, Distribution and Marking",IIP/Products/Editorial ,541990,Set Aside,>$10M and <$20M,Quarter 1 (Oct-Dec),N/A
state,FY 16,C2 Studio Upgrade - Studio and server room relocation and upgrade,IIP/Platforms/Digital,(Pick One),8(a) Competitive,>$1M and <$5M,Quarter 2 (Jan-Mar),N/A
state,FY 16,Website Operation and Maintenance - Embassy Website transfer and upgrade,IIP/Platforms/Digital,518210,8(a) Competitive,>$20M and <$50M,Quarter 2 (Jan-Mar),N/A
state,FY 16,"EX/IT - EX/IT Global Support Contracts, Global Enterprise, Global Network Operations, Global Applications Development ",ECA-IIP/EX/IT,541512,8(a) Competitive,>$10M and <$20M,Quarter 1 (Oct-Dec);#Quarter 2 (Jan-Mar),N/A
state,FY 16,Enterprise Level Information Technology Support,DS/EX/CTO,541513,Certified HUBZone Small Business Competed,>$1M and <$5M,Quarter 1 (Oct-Dec),N/A
state,FY 16,Admin and General Administrative Services,DS/SI/PSS,541611,8(a) Competitive,>$1M and <$5M,Quarter 3 (Apr-Jun),N/A
state,FY 16,Admin and General Administrative Services,DS/SI/PSS,541611,8(a) Competitive,>$10M and <$20M,Quarter 3 (Apr-Jun),N/A
state,FY 16,Administrative and General Administrative Services,DS Couriers,541611,8(a) Competitive,>$1M and <$5M,Quarter 3 (Apr-Jun),N/A
state,FY 16,Biometrics Support and Implementation,DS/EX/CTO,541519,Women Owned Small Business Sole Source,>$10M and <$20M,Quarter 1 (Oct-Dec),N/A
state,FY 16,Administrative and General Administrative Services,DS/SI/IS,541611,Service Disabled Veteran Owned Small Business Competed,>$1M and <$5M,Quarter 1 (Oct-Dec),N/A
state,FY 16,Professional Staffing Services for DS/T/TPS,DS/T/TPS/SECD & ISM,541611,8(a) Competitive,>$50M and <$100M,Quarter 2 (Jan-Mar),N/A
state,FY 16,Proefessional Staffing Services,DS/T/TPS/SLTD,541611,8(a) Competitive,>$100M and <$500M,Quarter 2 (Jan-Mar),N/A
state,FY 16,Proessional Staffing Services,DS/T/TPS/ATSS and Ft. Pickett,541611,8(a) Competitive,>$20M and <$50M,Quarter 2 (Jan-Mar),N/A
state,FY 16,Role Players for Hostage Survival and Personnel Recovery Training,DS/T/TPS,541611,Competitive - Full and Open,>$1M and <$5M,Quarter 1 (Oct-Dec),N/A
state,FY 16,Uniforms for BSAC Classes and Instructional Staff,DS/T/TPS,339920,Competitive - Full and Open,>$500K and <$1M,Quarter 4 (Jul-Sep),N/A
state,FY 16,Records Management and Database Support,ISN/EX/TD,541519,TBD,>$1M and <$5M,Quarter 2 (Jan-Mar),N/A
state,FY 16,Technical Support for Arms Control and International Security (TSACIS),ISN/EX/TD,541519,TBD,>$20M and <$50M,Quarter 3 (Apr-Jun),N/A
state,FY 16,Countermeasures and Security Technology Services,DS/C/ST,541330,8(a) Competitive,>$100M and <$500M,Quarter 3 (Apr-Jun),Worldwide
state,FY 16,Protective Technology Services,DS/C/ST,541330,8(a) Competitive,>$500M,Quarter 3 (Apr-Jun),Worldwide
state,FY 16,SAAB Radar Systems Support,DS/C/ST,334511,Sole Source,>$20M and <$50M,Quarter 1 (Oct-Dec),Multiple
state,FY 16,Construction Surveillance Technicians,DS/C/ST,541330,8(a) Competitive,>$10M and <$20M,Quarter 3 (Apr-Jun),N/A
state,FY 16,Professional and Administrative Staffing Services,DS/C/ST,541611,8(a) Competitive,>$5M and <$10M,Quarter 3 (Apr-Jun),Multiple
state,FY 16,Identity Management System,DS/C/ST,561621,TBD,>$10M and <$20M,Quarter 4 (Jul-Sep),Worldwide
state,FY 16,BI/Data Management  System,DS/C/ST,511210,TBD,>$500K and <$1M,Quarter 3 (Apr-Jun),N/A
state,FY 15,An Evaluation of the US-Africa Clean Energy - SAQMMA15F2991,OES/EGC,541690,Competitive - Full and Open,>$500K and <$1M,Quarter 4 (Jul-Sep),N/A
state,FY 15,Policy Supprt - SAQMMA14F3632,OES/EQT ,561990,Competitive - Full and Open,>$150K and <$500K,Quarter 4 (Jul-Sep),N/A
state,FY 15,Policy Support Specalist - SAQMMA14F2479,OES,541990,Competitive - Full and Open,>$150K and <$500K,Quarter 4 (Jul-Sep),N/A
state,FY 15,China Expert - SAQMMA14F2700,SECC,541990,Competitive - Full and Open,>$150K and <$500K,Quarter 4 (Jul-Sep),N/A
state,FY 15,Management Analyst - SAQMMA14F3039,SECC,561110,Competitive - Full and Open,>$150K and <$500K,Quarter 4 (Jul-Sep),N/A
state,FY 16,MT Lab Equipment,IRM/OPS/MSO/MT,423430,TBD,>$1M and <$5M,Quarter 1 (Oct-Dec);#Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),N/A
state,FY 16,MT Maintenance & Support Contracts Renewal,IRM/OPS/MSO/MT,541519,Sole Source,>$1M and <$5M,Quarter 1 (Oct-Dec);#Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),N/A
state,FY 16,MT Mobile Test Lab & Tools,IRM/OPS/MSO/MT,423430,TBD,>$500K and <$1M,Quarter 4 (Jul-Sep);#Quarter 3 (Apr-Jun);#Quarter 1 (Oct-Dec),N/A
state,FY 16,MT Lab Facilities Maintenance,IRM/OPS/MSO/MT,541519,Competitive - Full and Open,>$150K and <$500K,Quarter 1 (Oct-Dec);#Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),N/A
state,FY 16,MSDN ,IRM/OPS/MSO/MD,541519,Sole Source,>$150K and <$500K,Quarter 2 (Jan-Mar),N/A
state,FY 16,Nutanix Renewals,IRM/OPS/MSO/MD,541519,Sole Source,>$150K and <$500K,Quarter 4 (Jul-Sep),N/A
state,FY 16,eRecords Maintenance Renewals,IRM/OPS/MSO/MD,541519,Sole Source,>$150K and <$500K,Quarter 4 (Jul-Sep),N/A
state,FY 16,DevNet Renewals,IRM/OPS/MSO/MD,541519,Sole Source,>$150K and <$500K,Quarter 3 (Apr-Jun),N/A
state,FY 15,Climate Change Assistant Coordinator - SAQMMA15F2516  ???,OES/EGC,541611,Certified HUBZone Small Business Competed,>$150K and <$500K,Quarter 4 (Jul-Sep),N/A
state,FY 15,Monthly Cloud License per server core- SAQMMA15F2800,DRL,541620,8(a) Sole Source,>$500K and <$1M,Quarter 4 (Jul-Sep),N/A
state,FY 15,Artic Council Travel - SAQMMA15L1322,OES,541618,Sole Source,>$150K and <$500K,Quarter 4 (Jul-Sep),N/A
state,FY 15,IMD Programmers -  SAQMMA15F3722,DRL,541690,Certified HUBZone Small Business Competed,>$500K and <$1M,Quarter 4 (Jul-Sep),N/A
state,FY 16,Google Apps,IRM/BMP/OCA,541511,Competitive - Full and Open,>$10M and <$20M,Quarter 4 (Jul-Sep),N/A
state,FY 16,Chromebook Mgmt,IRM/BMP/OCA,541511,Competitive - Full and Open,>$150K and <$500K,Quarter 3 (Apr-Jun),N/A
state,FY 16,BetterCloud,IRM/BMP/OCA,541511,Competitive - Full and Open,>$1M and <$5M,Quarter 3 (Apr-Jun),N/A
state,FY 16,CloudLock,IRM/BMP/OCA,541511,Competitive - Full and Open,>$1M and <$5M,Quarter 3 (Apr-Jun),N/A
state,FY 16,Synergize,IRM/BMP/OCA,541511,Competitive - Full and Open,>$1M and <$5M,Quarter 3 (Apr-Jun),N/A
state,FY 16,PingIdenty (Product Like),IRM/BMP/OCA,541511,8(a) Competitive,>$500K and <$1M,Quarter 2 (Jan-Mar),N/A
state,FY 16,MaaS360 (Product Like),IRM/BMP/OCA,541511,8(a) Competitive,>$1M and <$5M,Quarter 3 (Apr-Jun),N/A
state,FY 16,Security as a Service,IRM/BMP/OCA,541511,8(a) Competitive,>$10M and <$20M,Quarter 2 (Jan-Mar),N/A
state,FY 16,Two-Factor Authentication,IRM/BMP/OCA,541511,8(a) Competitive,>$1M and <$5M,Quarter 2 (Jan-Mar),N/A
state,FY 16,English Language Training & Support ,FSI/EX/REG,611710,TBD,>$150K and <$500K,Quarter 2 (Jan-Mar),N/A
state,FY 16,Online Language Courses,FSI/EX/REG,611710,TBD,>$150K and <$500K,Quarter 3 (Apr-Jun),N/A
state,FY 16,Provision of Online Training Courseware and Materials,FSI/EX/REG,611710,TBD,>$150K and <$500K,Quarter 3 (Apr-Jun),N/A
state,FY 16,Warehouse Logistics and Support Services,FSI/EX/GSO/WH,561210,TBD,>$1M and <$5M,Quarter 2 (Jan-Mar),N/A
state,FY 16,Smart Panel Refresh,FSI/EX/AVF,334310,TBD,>$150K and <$500K,Quarter 3 (Apr-Jun),N/A
state,FY 16,Audio/Visual Technology Redesign/Refresh,FSI/EX/AVF,334310,TBD,>$150K and <$500K,Quarter 4 (Jul-Sep),N/A
state,FY 16,Next Generation Innovation Lab Expansion,FSI/EX/AVF,334310,TBD,>$150K and <$500K,Quarter 3 (Apr-Jun),N/A
