agency,office,description,naics,contract_type,competition_strategy,award_amount_range,place_of_performance_city,place_of_performance_state,estimated_fiscal_year,estimated_fiscal_year_quarter
ed,ED-CAM-OM,UCP Parking -- parking costs at the Union Center Plaza (UCP) building.,812930,DEFINITIVE CONTRACT,Full and Open , >   $150K and <$500K ,TBD,TBD,2016,Q3
ed,ED-CAM-IES,"Legal and News Information Services-provides indexing of and full-text access to national and statewide newspapers; federal case law, legislation, regulations and administrative decisions; state codes, statutes, regulations and judicial decisions; and public records. Funding comes from POCs throughout the agency; the contract is managed by the NLE .  This is paid for through a combination of funding. Only partial funding comes from IES",511120,DEFINITIVE CONTRACT,Full and Open , >= $1M and <$2M ,TBD,TBD,2016,Q3
ed,ED-CAM-OCR,Legal news/research subscription service,511120,DELIVERY ORDER,Fair Opportunity (for orders under existing contracts), <   $150K ,TBD,TBD,2016,Q4
ed,ED-CAM-IES,Contract for Quick Turnaround Requests (QTR)  to be completed under BPA.  QTR's allow the center to secure expert consultation and guidance on pressing issues in a short period of time. ,541720,BPA CALL,Reserved for Small Business, >   $150K and <$500K ,Washington,DC,2016,Q1
ed,ED-CAM-IES,"(Elementary and Secondary Education Act (ESEA) Pooled Evaluation Funds) Impact Evaluation of Strategies to Support Parental Engagement.  This will study the effectiveness of selected technology-based strategies to increase and improve parental engagement with schools and teachers around their children's education.  These funds will support the selection and implementation of strategies for evaluation, data collection, and analyses of data from year 1 data collection.    ",541720,DEFINITIVE CONTRACT,Full and Open , >= $2M and <$5M ,TBD,TBD,2016,Q2
ed,ED-CAM-IES,"What Works Clearinghouse Postsecondary Contract - This contract will serve as the primary vehicle that reviews postsecondary studies.  The contract will apply systematic review methods and the WWC evidence standards in its assessment of studies of effectiveness.  The results of the WWC's assessments will be reported in Intervention Reports, Quick Reviews, Single Study Reviews, and Practice Guides that are disseminated on the WWC website.  The contract will also be responsible for the development of new products as directed by IES.",541720,DEFINITIVE CONTRACT,Full and Open , >= $2M and <$5M ,TBD,TBD,2016,Q2
ed,ED-CAM-IES,"What Works Clearinghouse Communications - This contract will enhance the WWC brand by creating products and web-ready materials that better communicate the WWC mission to the public.  The contract will be responsible for developing a communications plan for the WWC, identifying key audiences, creating disseminable products, and strengthening the social media presence.",541720,DEFINITIVE CONTRACT,Full and Open , >= $1M and <$2M ,TBD,TBD,2016,Q3
ed,ED-CAM-IES,"What Works Clearinghouse Practice Guide - This contract will support the development of a new Practice Guide in an area determined to be a priority for the Department and education policy.  The new practice guide could be an update (e.g., and update for the Response to Intervention Reading guide) or a new topic.",541720,DEFINITIVE CONTRACT,Full and Open , >= $2M and <$5M ,TBD,TBD,2016,Q2
ed,ED-CAM-IES,"(Office of Elementary and Secondary Education (OESE) FUNDS) Impact Evaluation of Early Childhood Language Development. Many students reach fourth grade still struggling to read (one-third of fourth-grade students score below a basic level of reading proficiency on the National Assessment of Educational Progress). Struggling readers are disproportionately low-income and English learners. A recent (Institute of Education Sciences) IES exploratory study examined whether and which classroom practices were associated with children•À_s growth in language skills, background knowledge, and reading comprehension in prekindergarten through grade 3. Results from this study will be used to inform the development or selection of language interventions for testing in schools serving pre-k through third grade students at risk for reading difficulties. ",541720,DEFINITIVE CONTRACT,Full and Open , >= $10M and <$20M ,TBD,TBD,2016,Q3
ed,ED-CAM-IES,"(Office of Elementary and Secondary Education (OESE) FUNDS) Impact Evaluation of Teacher Preparation and Professional Development.  This will study the effectiveness of both pre-service and in-service supports for teachers. These funds will support first year study design refinement, instrument development, and site recruitment. ",541720,DEFINITIVE CONTRACT,Full and Open , >= $10M and <$20M ,TBD,TBD,2016,Q3
ed,ED-CAM-IES,"(Office of Postsecondary Education (OPE) FUNDS) The Evaluation of Information Strategies to Improve College Enrollment in TRIO programs.  This new contract will test out two informational interventions.  One is designed to help Educational Opportunity Centers increase engagement and enrollment of adults seeking to reconnect to postsecondary education.  The other will connect students in the Talent Search program to improve participation in dual enrollment programs.   First year funds for the contract will cover planning and development costs, including instrument development, Office of Management and Budget (OMB) approvals, the identification of the specific interventions, and outreach to grantees.     ",541720,DEFINITIVE CONTRACT,Full and Open , >= $2M and <$5M ,TBD,TBD,2016,Q3
ed,ED-CAM-IES,"To develop map search tools for  Integrated Postsecondary Education Data System (IPEDS) and Common Core Data(CCD).  These tools provide useful search tools to geo-graphically locate postsecondary institutions for prospective students (undergraduates and graduates), geographic context to schools in the CCD. These education search tools will link the location of the institution with additional information about the institution to aid in the college-choice process and school attributes. Also these tools could be used as complement to College Navigator and ELSi tools.",TBD,BPA CALL,Reserved for Small Business, >= $2M and <$5M ,TBD,TBD,2016,Q2
ed,ED-CAM-IES,ED Data Inventory and Collection Clearance Tools is a new IT investment being proposed to address three related gaps within the Department•À_s information architecture:•À_ 1) Establishment of the ED Data Inventory as a true IT investment of the Department; 2) Integration of the ED Data Inventory with existing tools and process for Information Collection Clearance (ICC),TBD,BPA,8A Competed, >   $150K and <$500K ,TBD,TBD,2016,Q2
ed,ED-CAM-IES,"ED Organizations Backbone •À_ Many of Ed•À_s information systems are built upon data models centered upon organizations: state education agencies, local school districts, postsecondary institutions, state government coordinating boards, etc.   Unfortunately the multiple systems do not use the same primary key to identify each organization.  This usually makes matching grant data from one system, program monitoring data from a second system, and performance reporting data within a third system time consuming, expensive to integrate and prone to repeatable errors.  The ED Organizations Backbone would reconcile data within multiple ED systems into one manageable database that would allow analysis to more efficiently link and connect data and produce meaningful results.",TBD,BPA,8A Competed, >   $150K and <$500K ,TBD,TBD,2016,Q2
ed,ED-CAM-IES,"Data and IT Resource Management and Support Contract•À_this contract will provide SharePoint training, database alignment, and SharePoint design services for Institute of Education Sciences (IES). This will be for the base year. 4 one year option periods will follow.",TBD,DEFINITIVE CONTRACT,Reserved for Small Business, >= $1M and <$2M ,TBD,TBD,2016,Q2
ed,ED-CAM-IES,Develop a report from extant National Center for Education Statistics (NCES) data relating internet access and education.,TBD,DEFINITIVE CONTRACT,Full and Open , >= $500K and <$1M ,TBD,TBD,2016,Q2
ed,ED-CAM-IES,Default Study. This is a cross-sectional study to examine the repayment of federal loans by students and parents. ,TBD,DEFINITIVE CONTRACT,Full and Open , >= $10M and <$20M ,TBD,TBD,2016,Q2
ed,ED-CAM-IES,"Postsecondary Education Data Matching (PEDM) Contract. This contract is a multi-source noncompetitive contract designed to match data from postsecondary sample surveys to admissions test, assessment tests, and financial aid records. Each contractor is a sole source vendor because they collect, manage, or own the data.",TBD,DEFINITIVE CONTRACT,Small Business Set Aside - Total, >= $500K and <$1M ,TBD,TBD,2016,Q2
ed,ED-CAM-IES,"Publications, Education Analysis, and Reporting for Sample Surveys (PEARSS) - New contract to provide analytic reports from, and user help and training on, postsecondary data products.  The reports and tables will draw on several large and complex data collections including: national longitudinal surveys; linked cross-sectional surveys; census data; and administrative record data. ",TBD,DEFINITIVE CONTRACT,Small Business Set Aside - Total, >= $5M and <$10M ,TBD,TBD,2016,Q2
ed,ED-CAM-IES,International Early Childhood Study - contract to support national data collection for surveys of early childhood education and care providers and assessment of early learning outcomes. Funding to support field tests in 2017. ,TBD,DEFINITIVE CONTRACT,Full and Open , >= $5M and <$10M ,TBD,TBD,2016,Q2
ed,ED-CAM-IES,"Statewide Longitudinal Data System (SLDS) Technical Assistance (TA) - contractor will work with SLDS Program Officers to provide assistance to SLDS grantee  State education agencies in the planning, development, expansion,•À_and implementation of longitudinal data systems. This activity will also support the work of creating a repository of best practices through collection of existing documents and resources as well as the development of new materials and publications. (This is the SLDS portion of this activity, jointly funded by statistics funds.  Funding level may vary depending on the level of appropriation for National Activities in SLDS.)",TBD,BPA,Reserved for Small Business, >= $10M and <$20M ,TBD,TBD,2016,Q2
ed,ED-CAM-IES,"Early Childhood Longitudinal Study - Birth Cohort -A new requirement to conduct the next Early Childhood Longitudinal Study, which will be a new birth cohort study.  Funding in the first year of the contract will be spent on planning and development. ",TBD,DEFINITIVE CONTRACT,Full and Open , >= $20M and <$50M ,TBD,TBD,2016,Q2
ed,ED-CAM-IES,Develop dissemination materials for the My Brother's Keeper initiative.,TBD,DEFINITIVE CONTRACT,Reserved for Small Business, >= $1M and <$2M ,TBD,TBD,2016,Q2
ed,ED-CAM-IES,Geospatial Data System - This contract provides National Center for Education Statistics (NCES) with support in the following areas: 1) Consolidate geospatial data from all NCES programs and data sets into one system; 2) linking school boundaries with NCES and Census data files to develop the school poverty estimates. This action will provide the computer support needed to map NCES geospatial data. ,TBD,DEFINITIVE CONTRACT,Reserved for Small Business, >= $500K and <$1M ,TBD,TBD,2016,Q3
ed,ED-CAM-IES,"Small business set aside to support international activities outreach and dissemination by developing a strategic plan for outreach, including use of social media, and providing on-going outreach and dissemination support for Program for international Student Assessment (PISA), Trends in International Mathematics and Science Study (TIMSS), Progress in International Reading Literacy Study (PIRLS), Teaching and Learning International Survey (TALIS), Program for the international Assessment of Adult Competencies (PIAAC) and other international activities.  ",TBD,DEFINITIVE CONTRACT,Reserved for Small Business, >= $2M and <$5M ,TBD,TBD,2016,Q4
ed,ED-CAM-ODS,"Anticipated My Brothers Keeper contract to support the Department's efforts to ensure that all youth, including boys and young men of color, have opportunities to improve their life outcomes and overcome barriers to success.",TBD,DEFINITIVE CONTRACT,Fair Opportunity (for orders under existing contracts), >= $500K and <$1M ,TBD,TBD,2016,Q4
ed,ED-CAM-OM,Bollards for Lyndon Baines Johnson (LBJ) Building - Determined by General Services Administration (GSA) that existing bollards have reached end of life (installed 2007) because of consistent and major repairs--GSA is requiring that ED pay for the replacement.,238990,FSS,Full and Open , >   $150K and <$500K ,TBD,TBD,2016,Q3
